ID_ATIV_ECON_ESTABELECIMENTO,CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_COMPLETO,NOME,NOME_FANTASIA
59449,5611201.0,15-09-1979,SIM,"Avenida GUARAPARI, 1166, SANTA AMELIA, Belo Horizonte, MG, Brasil",CHURRASCARIA SANTA AMELIA LTDA,CHURRASCARIA SANTA AMELIA
59451,5611201.0,01-04-1981,SIM,"Avenida CRISTIANO MACHADO, 5480, SAO PAULO, Belo Horizonte, MG, Brasil",BAR E RESTAURANTE PENA VERDE LTDA,Estabelecimento sem nome
59777,5611201.0,08-03-1982,NÃO,"Rua DOS AIMORES, 1065, BOA VIAGEM, Belo Horizonte, MG, Brasil",LANCHES TROPPO BUONO LTDA,Estabelecimento sem nome
59095,5611201.0,02-01-1978,SIM,"Rua ESMERALDA, 604, PRADO, Belo Horizonte, MG, Brasil",GUT BAR LTDA,Estabelecimento sem nome
59463,5611201.0,02-05-1977,SIM,"Rua LAGOA DA PRATA, 480, SALGADO FILHO, Belo Horizonte, MG, Brasil",MESSIAS BAR LTDA,Estabelecimento sem nome
59465,5611201.0,01-07-1977,NÃO,"Avenida OLEGARIO MACIEL, 714, CENTRO, Belo Horizonte, MG, Brasil",BAR E RESTAURANTE BOM DIA LTDA,RESTAURANTE DO ZEQUINHA
59470,5611201.0,01-11-1977,SIM,"Rua ICANA, 33, NOVA SUISSA, Belo Horizonte, MG, Brasil",LANCHONETE E MERCEARIA JEQUITINHONHA LTDA,Estabelecimento sem nome
59958,5611201.0,23-08-2011,NÃO,"Avenida OLINTO MEIRELES, 316, BARREIRO, Belo Horizonte, MG, Brasil",LELIA ALVES PEREIRA MARTINS,Estabelecimento sem nome
59150,5611201.0,15-08-1979,NÃO,"Rua SAO MATIAS, 143, SAO SALVADOR, Belo Horizonte, MG, Brasil",SORVETERIA TEIXEIRA LTDA,Estabelecimento sem nome
59517,5611201.0,24-08-1981,NÃO,"Rua ALAGOAS, 763, SAVASSI, Belo Horizonte, MG, Brasil",CHL LIMITADA,Estabelecimento sem nome
58872,5611201.0,10-12-1971,SIM,"Avenida OLEGARIO MACIEL, 2280, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",PIZZARELLA LTDA,PIZZARELLA
59209,5611201.0,20-07-1980,SIM,"Rua PINHEIRO CHAGAS, 406, BARREIRO, Belo Horizonte, MG, Brasil",BAR E RESTAURANTE TRUPICO MINEIRO LTDA,Estabelecimento sem nome
58889,5611201.0,29-10-2012,SIM,"Avenida PROFESSOR ALFREDO BALENA, 190, SANTA EFIGENIA, Belo Horizonte, MG, Brasil",FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE CAMPUS SAUDE
58890,5611201.0,29-10-2012,SIM,"Avenida ALVARES CABRAL, 211, CENTRO, Belo Horizonte, MG, Brasil",FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE FACULDADE DE DIREITO
58892,5611201.0,29-10-2012,NÃO,"Avenida PRESIDENTE ANTONIO CARLOS, 6627, CAMPUS UFMG, Belo Horizonte, MG, Brasil",FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE CAMPUS PAMPULHA-SETORIAL II
58893,5611201.0,29-10-2012,NÃO,"Avenida PRESIDENTE ANTONIO CARLOS, 6627, CAMPUS UFMG, Belo Horizonte, MG, Brasil",FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE CAMPUS PAMPULHA-SETORIAL I
59223,5611201.0,01-10-1980,SIM,"Rua DA BAHIA, 1172, CENTRO, Belo Horizonte, MG, Brasil",RESTAURANTE MARGHERITA LTDA,Estabelecimento sem nome
59591,5611201.0,01-02-1981,NÃO,"Rodovia ANEL RODOVIARIO CELSO MELLO AZEVEDO, 1195, JOAO PINHEIRO, Belo Horizonte, MG, Brasil",RESTAURANTE XICO DA KAFUA LTDA,Estabelecimento sem nome
59626,5611201.0,01-10-1981,SIM,"Rua CORONEL PEDRO PAULO PENIDO, 495, CIDADE NOVA, Belo Horizonte, MG, Brasil",DRUIDA LANCHES LTDA,Estabelecimento sem nome
59301,5611201.0,12-05-1969,SIM,"Rua DOS TUPIS, 871, CENTRO, Belo Horizonte, MG, Brasil",BAR E RESTAURANTE RIO NOVO LTDA,Estabelecimento sem nome
58629,5611201.0,01-12-1976,NÃO,"Rua RIO DE JANEIRO, 630, CENTRO, Belo Horizonte, MG, Brasil",BAR RESTAURANTE E PIZZARIA FORMULA 1 LTDA,Estabelecimento sem nome
58642,5611201.0,29-05-1962,NÃO,"Rua GERALDO TEIXEIRA DA COSTA, 212, FLORESTA, Belo Horizonte, MG, Brasil",BAR E RESTAURANTE ITATIAIA LTDA,Estabelecimento sem nome
58654,5611201.0,01-05-1952,NÃO,"Rua DO OURO, 895, SERRA, Belo Horizonte, MG, Brasil",BAR DO SALOMAO E IRMA LTDA,BAR DO SALOMAO
59363,5611201.0,20-06-1972,SIM,"Rua DOS GUARANIS, 560, CENTRO, Belo Horizonte, MG, Brasil",TOP LANCHES LTDA,Estabelecimento sem nome
59365,5611201.0,16-09-1955,SIM,"Rua DOS TUPINAMBAS, 638, CENTRO, Belo Horizonte, MG, Brasil",CAFE PALHARES LTDA,CAFE PALHARES
59724,5611201.0,15-10-1981,SIM,"Rua DOS ASTECAS, 2670, SANTA MONICA, Belo Horizonte, MG, Brasil",PIZZARIA OPCAO LTDA,PIZZARIA OPCAO
71019,5611201.0,21-10-2012,NÃO,"Rua JOSE AMERICO DE ALMEIDA, 411, CAMARGOS, Belo Horizonte, MG, Brasil",CLODOALDO ANTONIO DE FARIA 48335711615,Estabelecimento sem nome
70431,5611201.0,02-10-2012,NÃO,"Avenida PADRE JOSE MAURICIO, 723, VISTA ALEGRE, Belo Horizonte, MG, Brasil",ADENICE APARECIDA DA SILVA 95701516687,Estabelecimento sem nome
70439,5611201.0,02-10-2012,NÃO,"Rua CRACOVIA, 87, EUROPA, Belo Horizonte, MG, Brasil",MARIA ALICE ALVES DE OLIVEIRA 27510034604,Estabelecimento sem nome
71368,5611201.0,02-11-2012,NÃO,"Rua OITO, 63, VISTA DO SOL, Belo Horizonte, MG, Brasil",NEUZA DOMINGOS DA CUNHA 85877735691,Estabelecimento sem nome
15059,5611201.0,29-04-2003,SIM,"Rua CONDE DE LINHARES, 725, CORACAO DE JESUS, Belo Horizonte, MG, Brasil",RESTAURANTE E PIZZARIA LANINHO LTDA,Estabelecimento sem nome
15065,5611201.0,19-05-2003,SIM,"Avenida CRISTOVAO COLOMBO, 550, SAVASSI, Belo Horizonte, MG, Brasil",PARREIRAS PRATES ALIMENTICIO LTDA,Estabelecimento sem nome
15073,5611201.0,11-03-2003,SIM,"Rua ARAGUARI, 1443, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",FILIPE & SUEYD REFEICOES E LANCHES LTDA,ABROLHOS
15355,5611201.0,05-08-2002,NÃO,"Rua CARANGOLA, 358, SANTO ANTONIO, Belo Horizonte, MG, Brasil",TANUKI ALIMENTOS LTDA,Estabelecimento sem nome
15098,5611201.0,02-01-2003,SIM,"Rua MANOEL ELIAS DE AGUIAR, 125, OURO PRETO, Belo Horizonte, MG, Brasil",OURO PRETO RECEPCOES E EVENTOS LTDA,LE PETIT EVENTOS
15109,5611201.0,22-04-2002,SIM,"Rua ANTONIO DE ALBUQUERQUE, 395, SAVASSI, Belo Horizonte, MG, Brasil",POINT BAIANO BAR E RESTAURANTE LTDA,Estabelecimento sem nome
15124,5611201.0,14-09-2001,NÃO,"Avenida GETULIO VARGAS, 286, FUNCIONARIOS, Belo Horizonte, MG, Brasil",RESTAURANTE BRISTOL METROPOLITAN LTDA.,Estabelecimento sem nome
15956,5611201.0,22-04-2003,SIM,"Avenida AUGUSTO DE LIMA, 744, CENTRO, Belo Horizonte, MG, Brasil",CHOPERIA BOM GRILL LTDA,Estabelecimento sem nome
15175,5611201.0,10-09-2001,SIM,"Rua AMERICO MARTINS DA COSTA, 431, MINASLANDIA, Belo Horizonte, MG, Brasil",PAULO REIS DE BARROS,Estabelecimento sem nome
15178,5611201.0,02-07-2001,NÃO,"Avenida ABILIO MACHADO, 1867, GLORIA, Belo Horizonte, MG, Brasil",RESTAURANTE E LANCHONETE ZANETTI E MARTINS LTDA.,Estabelecimento sem nome
15987,5611201.0,15-06-2000,SIM,"Rua DORES DO INDAIA, 409, SANTA TEREZA, Belo Horizonte, MG, Brasil",ESTACAO PARADA DO CARDOSO PIZZARIA E RESTAURANTE LTDA,Estabelecimento sem nome
15989,5611201.0,20-11-2002,SIM,"Rua FERNANDES TOURINHO, 503, SAVASSI, Belo Horizonte, MG, Brasil",BERILO SAVASSI LTDA,Estabelecimento sem nome
14858,5611201.0,15-06-1999,SIM,"Rodovia BR TREZENTOS E CINQUENTA E SEIS, 3049, BELVEDERE, Belo Horizonte, MG, Brasil",RESTAURANTE TRATTORIA GRILL II LTDA,Estabelecimento sem nome
15242,5611201.0,01-10-2002,SIM,"Rodovia ANEL RODOVIARIO CELSO MELLO AZEVEDO, 28500, JARDIM VITORIA, Belo Horizonte, MG, Brasil",COMERCIAL LINS & GUEDES LTDA,Estabelecimento sem nome
15904,5611201.0,06-05-2002,SIM,"Avenida AMAZONAS, 717, CENTRO, Belo Horizonte, MG, Brasil",EXPRESSA GULA RESTAURANTE E LANCHONETE LTDA,EXPRESSA GULA
16009,5611201.0,10-07-2002,SIM,"Rua MATO GROSSO, 960, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",DUCARMO & FRANCO SELF SERVICE LTDA,DUCARMO SELF SERVICE LTDA
15279,5611201.0,12-08-2002,SIM,"Rua CLAUDIO MANOEL, 463, SAVASSI, Belo Horizonte, MG, Brasil",TEIXEIRA MENDES REFEICOES E LANCHES LTDA,GRAOS DA TERRA
15837,5611201.0,06-03-2001,NÃO,"Rua CAXAMBU, 37, LAGOINHA, Belo Horizonte, MG, Brasil",DODORA RESTAURANTE E LANCHONETE LTDA,Estabelecimento sem nome
14945,5611201.0,01-07-1994,NÃO,"Rua COBRE, 200, CRUZEIRO, Belo Horizonte, MG, Brasil",EMERSON NOGUEIRA MENDES,ALIMENDES
15342,5611201.0,09-04-2001,NÃO,"Rua PADRE TIAGO DE ALMEIDA, 311, CAMARGOS, Belo Horizonte, MG, Brasil",ELIZABETE PEREIRA DA SILVA - CPF 796.721.086-72,Estabelecimento sem nome
15851,5611201.0,11-08-2003,NÃO,"Avenida AGGEO PIO SOBRINHO, 420, BURITIS, Belo Horizonte, MG, Brasil",ORGANIZACAO BAETA E MARIANI LTDA,PIZZA-CREK
15940,5611201.0,28-03-2003,SIM,"Rua SENADOR LIMA GUIMARAES, 531, OLHOS D'AGUA, Belo Horizonte, MG, Brasil",RESTAURANTE PAZZANESE E ELIAS LTDA,RESTAURANTE MESA DE MINAS
14699,5611201.0,20-04-2001,SIM,"Avenida OLEGARIO MACIEL, 283, CENTRO, Belo Horizonte, MG, Brasil",CAFETERIA E LANCHONETE MINEIRO LTDA,BANQUETE MINEIRO
15031,5611201.0,08-11-1999,SIM,"Avenida DO CONTORNO, 1468, FLORESTA, Belo Horizonte, MG, Brasil",SALADA E CIA SELF SERVICE LTDA,BONECA DE LILI
13382,5611201.0,24-07-2002,SIM,"Rua PARU, 1067, NOVA FLORESTA, Belo Horizonte, MG, Brasil",EM 2 BAR E RESTAURANTE LTDA,Estabelecimento sem nome
13777,5611201.0,01-09-2001,SIM,"Rua BERNARDO GUIMARAES, 2394, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",CARNES E SALADAS DIAMOND MALL LTDA,Estabelecimento sem nome
14472,5611201.0,11-09-2001,SIM,"Rua SAPUCAI, 429, FLORESTA, Belo Horizonte, MG, Brasil",DELLICIAS DA VILLA LTDA,Estabelecimento sem nome
13456,5611201.0,06-08-2002,SIM,"Avenida OLEGARIO MACIEL, 1600, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",SP BELO HORIZONTE- 2002 BAR E RESTAURANTE LTDA,Estabelecimento sem nome
13496,5611201.0,19-03-2001,SIM,"Rua TOMAZ GONZAGA, 593, LOURDES, Belo Horizonte, MG, Brasil",DARTA LTDA,D'ARTAGNAN
13823,5611201.0,02-06-2015,SIM,"Rua ALVARENGA PEIXOTO, 1207, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",NATUREBA PRODUTOS ALIMENTICIOS LTDA.,ALVARENGA GLUTEN FREE
14187,5611201.0,15-10-2002,SIM,"Praça DAS CONSTELACOES, 143, SANTA LUCIA, Belo Horizonte, MG, Brasil",CYBUS COMERCIO LTDA,BELLA VENEZIA
14191,5611201.0,14-12-2001,SIM,"Rua DOS CANOEIROS, 261, SANTA MONICA, Belo Horizonte, MG, Brasil",EDSON QUINTINO ALVES,Estabelecimento sem nome
14499,5611201.0,11-05-2001,SIM,"Rua ANORI, 5, SAO GABRIEL, Belo Horizonte, MG, Brasil",GLAUCIA SOUZA FRANCO,RESTAURANTE LILEGAL
13896,5611201.0,01-02-2002,SIM,"Avenida LUIZ PAULO FRANCO, 420, BELVEDERE, Belo Horizonte, MG, Brasil",RTM REFEICOES LTDA,Estabelecimento sem nome
14629,5611201.0,05-04-2001,SIM,"Rua DO URUGUAI, 719, SION, Belo Horizonte, MG, Brasil",SION ALIMENTACAO LTDA,Estabelecimento sem nome
14280,5611201.0,22-11-2001,NÃO,"Avenida GETULIO VARGAS, 823, SAVASSI, Belo Horizonte, MG, Brasil",ORGANIZACAO BERSAN PEREIRA LTDA,Estabelecimento sem nome
13600,5611201.0,15-01-2002,SIM,"Avenida LUIZ PAULO FRANCO, 721, BELVEDERE, Belo Horizonte, MG, Brasil",GRACILIANO PAES LTDA,Estabelecimento sem nome
14569,5611201.0,01-04-2003,SIM,"Rua CURITIBA, 2069, LOURDES, Belo Horizonte, MG, Brasil",BOI LOURDES COMERCIO LTDA,Estabelecimento sem nome
13629,5611201.0,01-07-2000,SIM,"Rua MARCOS ANTONIO CAVANIS, 60, BRAUNAS, Belo Horizonte, MG, Brasil",GUERRA ALIMENTACAO LTDA,Estabelecimento sem nome
14341,5611201.0,10-01-2003,SIM,"Rua DOS GOITACAZES, 376, CENTRO, Belo Horizonte, MG, Brasil",RESTAURANTE KEROBIS LTDA,COZINHA MINEIRA
13328,5611201.0,20-06-2002,SIM,"Avenida CARANDAI, 840, SANTA EFIGENIA, Belo Horizonte, MG, Brasil",ALANE & CARVALHO COMERCIO LTDA,DONNA MARGHERITA
13996,5611201.0,27-02-2002,SIM,"Rua CAMPOS SALES, 380, CALAFATE, Belo Horizonte, MG, Brasil",CALIVAIS COMERCIAL LTDA,JAO BAR
13677,5611201.0,08-05-1992,SIM,"Avenida AFONSO PENA, 3745, SERRA, Belo Horizonte, MG, Brasil",SORITAL COMERCIO DE ALIMENTOS LTDA,Estabelecimento sem nome
13709,5611201.0,01-08-2002,SIM,"Rua DOS HANGARES, 11, AEROPORTO, Belo Horizonte, MG, Brasil",ENSA SERVICOS DE ALIMENTACAO LTDA,HANGAR GOURMET
205000,5611201.0,14-01-2019,NÃO,"Avenida FLAVIO DOS SANTOS, 335, FLORESTA, Belo Horizonte, MG, Brasil",GUILHERME DRUMMOND DE ALMEIDA 11311678646,DRUMMOND PIZZA
206295,5611201.0,24-01-2019,SIM,"Rua DO LEBLON, 8, URCA, Belo Horizonte, MG, Brasil",18.907.326 RAQUEL DIAS FAGUNDES,Estabelecimento sem nome
78157,5611201.0,05-07-2013,NÃO,"Rua DOM VICOSO, 368, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil",ANA LUISA MARZANO DOLABELLA 03280678650,Estabelecimento sem nome
78508,5611201.0,16-07-2013,SIM,"Rua DOS OTONI, 710, SANTA EFIGENIA, Belo Horizonte, MG, Brasil",DANIEL ARAUJO FREITAS,POMAR DO ACAI RESTAURANTE E LANCHONETE
79087,5611201.0,02-08-2013,SIM,"Rua DOUTOR CRISTIANO REZENDE, 2650, ARAGUAIA, Belo Horizonte, MG, Brasil",RESTAURANTE FL LTDA,RESTAURANTE SABOR DE MINAS
78517,5611201.0,16-07-2013,NÃO,"Rua DO MARINHOS, 58, NOVA SUISSA, Belo Horizonte, MG, Brasil",MARIA DE FATIMA PEREIRA COUTO 76197336634,Estabelecimento sem nome
78529,5611201.0,16-07-2013,SIM,"Avenida CRISTIANO MACHADO, 1950, CIDADE NOVA, Belo Horizonte, MG, Brasil",UM TREM NA CHAPA RESTAURANTE LTDA,UM TREM NA CHAPA
78530,5611201.0,10-11-2015,SIM,"Avenida CRISTIANO MACHADO, 1950, CIDADE NOVA, Belo Horizonte, MG, Brasil",UM TREM NA CHAPA RESTAURANTE LTDA,UM TREM NA CHAPA
78784,5611201.0,24-07-2013,SIM,"Avenida ANTONIO ABRAHAO CARAM, 900, SAO JOSE, Belo Horizonte, MG, Brasil",FARROUPILHA STEAK HOUSE LTDA,Estabelecimento sem nome
78788,5611201.0,24-07-2013,NÃO,"Rua ITAJUBA, 913, FLORESTA, Belo Horizonte, MG, Brasil",A P DOS SANTOS,RESTAURANTE MANGUEIRA
79109,5611201.0,02-08-2013,NÃO,"Rua JULIO RODRIGUES DE MIRANDA, 140, CONFISCO, Belo Horizonte, MG, Brasil",MARIA DOS ANJOS OLIVEIRA 81400721687,Estabelecimento sem nome
78599,5611201.0,18-07-2013,SIM,"Rua PONTA GROSSA, 36, ARAGUAIA, Belo Horizonte, MG, Brasil",18.511.566 JOSE MAURICIO BEBIANO,Estabelecimento sem nome
78613,5611201.0,18-07-2013,NÃO,"Rua CACATUA, 422, FLAVIO MARQUES LISBOA, Belo Horizonte, MG, Brasil",DOMINGOS BONIFACIO DAS MERCES 48199850604,Estabelecimento sem nome
79314,5611201.0,08-08-2013,NÃO,"Avenida DO CONTORNO, 1550, FLORESTA, Belo Horizonte, MG, Brasil",ODEON LANCHES & RESTAURANTE LTDA,ODEON LANCHES
79327,5611201.0,08-08-2013,NÃO,"Rua JOSE BENJAMIM DE CASTRO, 70, CAMPO ALEGRE, Belo Horizonte, MG, Brasil",SANDRA MARIA DE MATOS 40169987191,Estabelecimento sem nome
78639,5611201.0,19-07-2013,SIM,"Rua CAMBUQUIRA, 1495, CARLOS PRATES, Belo Horizonte, MG, Brasil",MARIA MINEIRA RESTAURANTE E LANCHONETE LTDA,Estabelecimento sem nome
78925,5611201.0,29-07-2013,SIM,"Avenida SENADOR LEVINDO COELHO, 4852, INDEPENDENCIA, Belo Horizonte, MG, Brasil",PIZZARIA DO PRETO LTDA,PIZZARIA DO PRETO
78926,5611201.0,29-07-2013,NÃO,"Rua MARMORE, 787, SANTA TEREZA, Belo Horizonte, MG, Brasil",MOACIR JOSE DA COSTA 42033080110,Estabelecimento sem nome
79174,5611201.0,05-08-2013,NÃO,"Avenida MANOEL SALLES BARBOSA, 65, CARDOSO, Belo Horizonte, MG, Brasil",L M EMPREENDIMENTOS COMERCIAIS LTDA,JEF BAR
79252,5611201.0,07-08-2013,NÃO,"Avenida JOAQUIM ABEL COELHO, 55, MANTIQUEIRA, Belo Horizonte, MG, Brasil",DIEGO PEREIRA SANTOS 11167803647,RESTAURANTE E LANCHONETE MAOS DE MINAS
79259,5611201.0,07-08-2013,NÃO,"Avenida OLEGARIO MACIEL, 1276, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",SAULO DOS SANTOS 02672135657,Estabelecimento sem nome
77548,5611201.0,18-06-2013,SIM,"Avenida SILVA LOBO, 1773, GRAJAU, Belo Horizonte, MG, Brasil",SUSHI UP SILVA LOBO LTDA,SUSHI UP SILVA LOBO
77037,5611201.0,31-05-2013,NÃO,"Rua SANTA CEIA, 61, JARDIM SAO JOSE, Belo Horizonte, MG, Brasil",IVANI MARIA FIRMO 03373534682,Estabelecimento sem nome
78012,5611201.0,03-07-2013,SIM,"Rua MARILIA DE DIRCEU, 161, LOURDES, Belo Horizonte, MG, Brasil",GILBERTO SEBASTIAO DA SILVA,BALAIO
77736,5611201.0,24-06-2013,SIM,"Rua JOSE FELIX MARTINS, 925, MANTIQUEIRA, Belo Horizonte, MG, Brasil",18.351.928 ROSILANE LOPES DA ROSA PEDROSO VAILAM,Estabelecimento sem nome
77749,5611201.0,24-06-2013,NÃO,"Rua SERRA NEGRA, 1876, NOVA ESPERANCA, Belo Horizonte, MG, Brasil",JONAS CAIQUE ALVES DA SILVA 11684229650,Estabelecimento sem nome
77765,5611201.0,24-06-2013,SIM,"Avenida OTACILIO NEGRAO DE LIMA, 1624, SAO LUIZ, Belo Horizonte, MG, Brasil",SORRENTO RESTAURANTE LTDA,SAATORE RISTORANTE
77781,5611201.0,25-06-2013,NÃO,"Rua TEREZINHA LOPES DE AZEVEDO, 115, PLANALTO, Belo Horizonte, MG, Brasil",JOAQUIM VIEIRA DA SILVA 70363692649,Estabelecimento sem nome
77791,5611201.0,25-06-2013,NÃO,"Rua CONGONHAS, 895, SANTO ANTONIO, Belo Horizonte, MG, Brasil",JJR EMPREENDIMENTOS ALIMENTICIOS LTDA,PIZZARIA DELLA FIORE
77809,5611201.0,25-06-2013,SIM,"Rua PARAIBA, 941, SAVASSI, Belo Horizonte, MG, Brasil",LPM RESTAURANTE E BUFFET LTDA,CASA AMORA
76831,5611201.0,23-05-2013,SIM,"Praça RIO BRANCO, 100, CENTRO, Belo Horizonte, MG, Brasil",MF GAZIRE ALIMENTOS LTDA,Estabelecimento sem nome
77172,5611201.0,06-05-2013,NÃO,"Rua KEPLER, 441, SANTA LUCIA, Belo Horizonte, MG, Brasil",VERDINHO FALLS RESTAURANTE LTDA,OS PIRATAS PIZZARIA
77179,5611201.0,06-06-2013,SIM,"Avenida GUARAPARI, 176, SANTA AMELIA, Belo Horizonte, MG, Brasil",JAPAN COZINHA ORIENTAL LTDA,Estabelecimento sem nome
77849,5611201.0,27-06-2013,NÃO,"Avenida AMAZONAS, 2515, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",RESTAURANTE PISTACHE II LTDA,Estabelecimento sem nome
77189,5611201.0,06-06-2013,SIM,"Rua SERGIPE, 146, BOA VIAGEM, Belo Horizonte, MG, Brasil",VG RESTAURANTE LTDA,Estabelecimento sem nome
534293,5611201.0,27-03-2025,SIM,"Rua BOLIVAR MINEIRO, 38, DONA CLARA, Belo Horizonte, MG, Brasil","DONA MARIA RESTAURANTE, PIZZARIA E HAMBURGUERIA LTDA","DONA MARIA RESTAURANTE, PIZZARIA E HAMBURGUERIA"
534634,5611201.0,28-03-2025,NÃO,"Avenida AUGUSTO DE LIMA, 1540, BARRO PRETO, Belo Horizonte, MG, Brasil",CELEIRO GRILL COMERCIO DE ALIMENTOS LTDA,CELEIRO GRILL
532341,5611201.0,21-03-2025,NÃO,"Rua DOS VETERINARIOS, 411, ALIPIO DE MELO, Belo Horizonte, MG, Brasil",60.017.627 KLISMAN PESSOA PEREIRA,Estabelecimento sem nome
