ID_ATIV_ECON_ESTABELECIMENTO,CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_COMPLETO,NOME,NOME_FANTASIA,GEOMETRIA,CDB,COORDS
59465,5611201.0,01-07-1977,NÃO,"AVENIDA OLEGARIO MACIEL, 714, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR E RESTAURANTE BOM DIA LTDA,RESTAURANTE DO ZEQUINHA,POINT (610437.58 7796927.31),0,"-19.9160485, -43.9433801"
59470,5611201.0,01-11-1977,SIM,"RUA ICANA, 33, NOVA SUISSA, BELO HORIZONTE, MG, BRASIL",LANCHONETE E MERCEARIA JEQUITINHONHA LTDA,ESTABELECIMENTO SEM NOME,POINT (607025.19 7795252.86),0,"-19.9364670, -43.9754420"
59476,5611204.0,02-01-1962,SIM,"RUA JACUI, 463, COLEGIO BATISTA, BELO HORIZONTE, MG, BRASIL",BAR ROSICLE LTDA,BAR ROSICLE,POINT (611746.21 7798219.17),0,"-19.9042516, -43.9323855"
59797,5611204.0,02-04-1982,SIM,"RUA CONSELHEIRO DANTAS, 6, CALAFATE, BELO HORIZONTE, MG, BRASIL",JOSE CARLOS DE SA MENEZES E CIA LIMITADA,BAR DA PRACA,POINT (608007.64 7796661.55),0,"-19.9240145, -43.9674524"
59485,5611204.0,16-09-1964,NÃO,"RUA PENAFIEL, 186, ANCHIETA, BELO HORIZONTE, MG, BRASIL",BAR E CAFE SANDRA LTDA,BAR E CAFE SANDRA LTDA,POINT (612235.89 7793719.92),0,"-19.9500233, -43.9270906"
59958,5611201.0,23-08-2011,NÃO,"AVENIDA OLINTO MEIRELES, 316, BARREIRO, BELO HORIZONTE, MG, BRASIL",LELIA ALVES PEREIRA MARTINS,ESTABELECIMENTO SEM NOME,POINT (603234.44 7791091.80),0,"-19.9846024, -44.0094293"
59148,5611204.0,08-06-1977,SIM,"RUA ELISIO DE BRITO, 205, BOA VISTA, BELO HORIZONTE, MG, BRASIL",BAR SO LAZARO LTDA,ESTABELECIMENTO SEM NOME,POINT (614492.53 7799648.44),0,"-19.8962505, -43.9065300"
59150,5611201.0,15-08-1979,NÃO,"RUA SAO MATIAS, 143, SAO SALVADOR, BELO HORIZONTE, MG, BRASIL",SORVETERIA TEIXEIRA LTDA,ESTABELECIMENTO SEM NOME,POINT (603262.58 7800320.63),0,"-19.8904765, -44.0135417"
59508,5611204.0,01-11-1980,NÃO,"RUA CAMPO FORMOSO, 166, SALGADO FILHO, BELO HORIZONTE, MG, BRASIL",BAR CAMPO FORMOSO LTDA,ESTABELECIMENTO SEM NOME,POINT (606115.11 7794076.57),0,"-19.9469299, -43.9857617"
59517,5611201.0,24-08-1981,NÃO,"RUA ALAGOAS, 763, SAVASSI, BELO HORIZONTE, MG, BRASIL",CHL LIMITADA,ESTABELECIMENTO SEM NOME,POINT (611385.89 7795481.72),0,"-19.9342903, -43.9359366"
59870,5611204.0,22-08-2011,SIM,"AVENIDA OLEGARIO MACIEL, 474, CENTRO, BELO HORIZONTE, MG, BRASIL",GULU BAR E RESTAURANTE LTDA,ESTABELECIMENTO SEM NOME,POINT (610509.51 7797197.12),0,"-19.9160485, -43.9433801"
58856,5611204.0,01-10-1969,NÃO,"RUA ELISIO DE BRITO, 395, BOA VISTA, BELO HORIZONTE, MG, BRASIL",JAIME BOTELHO DE LIMA,ESTABELECIMENTO SEM NOME,POINT (614686.88 7799692.11),0,"-19.8962505, -43.9065300"
58858,5611204.0,01-01-1955,SIM,"RUA DOS TAMOIOS, 499, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR E CAFE BEIRUTE LTDA,ESTABELECIMENTO SEM NOME,POINT (610827.56 7797031.93),0,"-19.9198038, -43.9410821"
58861,5611204.0,01-03-1973,SIM,"AVENIDA AUGUSTO DE LIMA, 744, CENTRO, BELO HORIZONTE, MG, BRASIL",LUMAPA BAR LTDA,RESTAURANTE JORGE AMERICANO,POINT (610591.38 7796689.57),18,"-19.9225815, -43.9430243"
58872,5611201.0,10-12-1971,SIM,"AVENIDA OLEGARIO MACIEL, 2280, SANTO AGOSTINHO, BELO HORIZONTE, MG, BRASIL",PIZZARELLA LTDA,PIZZARELLA,POINT (610053.88 7795478.95),0,"-19.9339732, -43.9484406"
59203,5611204.0,01-07-1980,SIM,"RUA PADRE EUSTAQUIO, 2494, PADRE EUSTAQUIO, BELO HORIZONTE, MG, BRASIL",BOLA BAR LTDA,BOLA BAR,POINT (607143.97 7797604.76),0,"-19.9180268, -43.9755744"
59209,5611201.0,20-07-1980,SIM,"RUA PINHEIRO CHAGAS, 406, BARREIRO, BELO HORIZONTE, MG, BRASIL",BAR E RESTAURANTE TRUPICO MINEIRO LTDA,ESTABELECIMENTO SEM NOME,POINT (603285.19 7790357.89),0,"-19.9806850, -44.0128009"
58889,5611201.0,29-10-2012,SIM,"AVENIDA PROFESSOR ALFREDO BALENA, 190, SANTA EFIGENIA, BELO HORIZONTE, MG, BRASIL",FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE CAMPUS SAUDE,POINT (612057.10 7796444.00),0,"-19.9241951, -43.9294103"
58890,5611201.0,29-10-2012,SIM,"AVENIDA ALVARES CABRAL, 211, CENTRO, BELO HORIZONTE, MG, BRASIL",FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE FACULDADE DE DIREITO,POINT (611273.65 7796405.89),0,"-19.9247003, -43.9355033"
58892,5611201.0,29-10-2012,NÃO,"AVENIDA PRESIDENTE ANTONIO CARLOS, 6627, CAMPUS UFMG, BELO HORIZONTE, MG, BRASIL",FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE CAMPUS PAMPULHA-SETORIAL II,POINT (609179.12 7803009.14),0,"-19.8630917, -43.9597997"
58893,5611201.0,29-10-2012,NÃO,"AVENIDA PRESIDENTE ANTONIO CARLOS, 6627, CAMPUS UFMG, BELO HORIZONTE, MG, BRASIL",FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE CAMPUS PAMPULHA-SETORIAL I,POINT (609179.12 7803009.14),0,"-19.8630917, -43.9597997"
59218,5611204.0,11-09-1980,SIM,"RUA CURITIBA, 1022, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR E LANCHONETE ARUAQUES LTDA,ESTABELECIMENTO SEM NOME,POINT (610716.28 7796849.69),0,"-19.9184402, -43.9412152"
59223,5611201.0,01-10-1980,SIM,"RUA DA BAHIA, 1172, CENTRO, BELO HORIZONTE, MG, BRASIL",RESTAURANTE MARGHERITA LTDA,ESTABELECIMENTO SEM NOME,POINT (611185.68 7796443.77),0,"-19.9214255, -43.9365262"
59229,5611204.0,01-08-1980,SIM,"RUA JERUSALEM, 10, GLORIA, BELO HORIZONTE, MG, BRASIL",MANOEL MAURO SALES,ESTABELECIMENTO SEM NOME,POINT (603538.73 7799746.66),0,"-19.8982861, -44.0135905"
59591,5611201.0,01-02-1981,NÃO,"RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 1195, JOAO PINHEIRO, BELO HORIZONTE, MG, BRASIL",RESTAURANTE XICO DA KAFUA LTDA,XICO DA KAFUA,POINT (604362.02 7796768.02),105,
59934,5611204.0,23-08-2011,NÃO,"AVENIDA BIAS FORTES, 1411, BARRO PRETO, BELO HORIZONTE, MG, BRASIL",14.170.992 JADEM MAXIMILIANO MARTINS,ESTABELECIMENTO SEM NOME,POINT (610327.12 7796814.74),0,"-19.9216954, -43.9458662"
58900,5611204.0,26-12-1966,SIM,"RUA ELISIO DE BRITO, 409, BOA VISTA, BELO HORIZONTE, MG, BRASIL",BAR MARAJO LTDA,ESTABELECIMENTO SEM NOME,POINT (614719.86 7799699.10),0,"-19.8962505, -43.9065300"
58937,5611204.0,14-09-1967,SIM,"RUA RAUL MENDES, 151, FLORESTA, BELO HORIZONTE, MG, BRASIL",WAGNER RONALDO GOMES DE ARAUJO,BAR E CAFE GARAPA,POINT (612419.30 7797541.25),0,"-19.9159767, -43.9272245"
59626,5611201.0,01-10-1981,SIM,"RUA CORONEL PEDRO PAULO PENIDO, 495, CIDADE NOVA, BELO HORIZONTE, MG, BRASIL",DRUIDA LANCHES LTDA,ESTABELECIMENTO SEM NOME,POINT (612420.01 7800583.23),0,"-19.8882533, -43.9265511"
59301,5611201.0,12-05-1969,SIM,"RUA DOS TUPIS, 871, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR E RESTAURANTE RIO NOVO LTDA,ESTABELECIMENTO SEM NOME,POINT (610421.47 7796995.06),0,"-19.9214244, -43.9398755"
59306,5611204.0,01-03-1979,NÃO,"RUA CACONDE, 71, NOVA FLORESTA, BELO HORIZONTE, MG, BRASIL",BAR NUNES E BRAGA LTDA,ESTABELECIMENTO SEM NOME,POINT (611724.55 7800207.78),0,"-19.8907765, -43.9359039"
59643,5611204.0,10-02-1979,SIM,"AVENIDA SANTA TEREZINHA, 770, SANTA TEREZINHA, BELO HORIZONTE, MG, BRASIL",BAR DO BIDU LTDA,ZE DO ESPETO,POINT (604422.98 7802452.60),0,"-19.8706234, -44.0014761"
58629,5611201.0,01-12-1976,NÃO,"RUA RIO DE JANEIRO, 630, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR RESTAURANTE E PIZZARIA FORMULA 1 LTDA,ESTABELECIMENTO SEM NOME,POINT (611054.15 7797039.82),0,"-19.9181014, -43.9383398"
58642,5611201.0,29-05-1962,NÃO,"RUA GERALDO TEIXEIRA DA COSTA, 212, FLORESTA, BELO HORIZONTE, MG, BRASIL",BAR E RESTAURANTE ITATIAIA LTDA,ESTABELECIMENTO SEM NOME,POINT (611785.00 7797045.23),0,"-19.9196406, -43.9315824"
58963,5611204.0,24-04-1963,NÃO,"RUA DOS TUPIS, 369, CENTRO, BELO HORIZONTE, MG, BRASIL",GRUTA MARA LTDA,CAFÉ BAHIA,POINT (610897.19 7796868.72),8,"-19.9214244, -43.9398755"
59323,5611204.0,01-01-1968,SIM,"AVENIDA AUGUSTO DE LIMA, 744, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR FORTALEZA LTDA,RESTAURANTE JORGE AMERICANO,POINT (610591.38 7796689.57),18,"-19.9225815, -43.9430243"
58654,5611201.0,01-05-1952,NÃO,"RUA DO OURO, 895, SERRA, BELO HORIZONTE, MG, BRASIL",BAR DO SALOMAO E IRMA LTDA,BAR DO SALOMAO,POINT (613027.77 7794922.72),0,"-19.9403611, -43.9200245"
58656,5611204.0,08-08-1966,SIM,"RUA NIQUEL, 246, SERRA, BELO HORIZONTE, MG, BRASIL",BAR AUAD LTDA,ESTABELECIMENTO SEM NOME,POINT (613311.79 7794548.23),0,"-19.9409240, -43.9171593"
58991,5611204.0,10-10-1974,SIM,"RUA CARMO DA MATA, 644, SAUDADE, BELO HORIZONTE, MG, BRASIL",BAR E MERCEARIA MOREIRA LTDA,ESTABELECIMENTO SEM NOME,POINT (615353.93 7797514.36),0,"-19.9131095, -43.8983513"
59345,5611204.0,06-02-1962,SIM,"RUA MONTE VERDE, 213, SAO SALVADOR, BELO HORIZONTE, MG, BRASIL",CHOPPLANDIA LTDA,DISTRIBUIDORA DE BEBIDAS CHOPPLANDIA,POINT (603295.54 7800239.84),0,"-19.8915056, -44.0108807"
59695,5611204.0,03-11-1981,SIM,"RUA PARACATU, 905, BARRO PRETO, BELO HORIZONTE, MG, BRASIL",LANCHONETE PARACATU LTDA,ESTABELECIMENTO SEM NOME,POINT (609598.85 7796375.91),0,"-19.9255829, -43.9527897"
59697,5611204.0,01-09-1981,SIM,"AVENIDA AUGUSTO DE LIMA, 744, CENTRO, BELO HORIZONTE, MG, BRASIL",JILO TRADICAO MC LTDA,RESTAURANTE JORGE AMERICANO,POINT (610591.38 7796689.57),18,"-19.9225815, -43.9430243"
59009,5611204.0,01-10-1977,SIM,"AVENIDA AUGUSTO DE LIMA, 1288, BARRO PRETO, BELO HORIZONTE, MG, BRASIL",RIBAS LANCHES LTDA,ESTABELECIMENTO SEM NOME,POINT (610046.79 7796834.29),0,"-19.9220472, -43.9476699"
59363,5611201.0,20-06-1972,SIM,"RUA DOS GUARANIS, 560, CENTRO, BELO HORIZONTE, MG, BRASIL",TOP LANCHES LTDA,ESTABELECIMENTO SEM NOME,POINT (610580.14 7797046.97),0,"-19.9162320, -43.9423878"
59365,5611201.0,16-09-1955,SIM,"RUA DOS TUPINAMBAS, 638, CENTRO, BELO HORIZONTE, MG, BRASIL",CAFE PALHARES LTDA,CAFÉ PALHARES,POINT (610938.14 7797312.41),9,"-19.9164141, -43.9443398"
59724,5611201.0,15-10-1981,SIM,"RUA DOS ASTECAS, 2670, SANTA MONICA, BELO HORIZONTE, MG, BRASIL",PIZZARIA OPCAO LTDA,PIZZARIA OPCAO,POINT (606775.11 7807360.29),0,"-19.8316642, -43.9761610"
59376,5611204.0,15-10-1979,NÃO,"AVENIDA AUGUSTO DE LIMA, 744, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR E CAFE SAO JUDAS LTDA,RESTAURANTE JORGE AMERICANO,POINT (610591.38 7796689.57),18,"-19.9225815, -43.9430243"
59377,5611204.0,15-04-2015,NÃO,"AVENIDA AUGUSTO DE LIMA, 744, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR E CAFE SAO JUDAS LTDA,RESTAURANTE JORGE AMERICANO,POINT (610591.38 7796689.57),18,"-19.9225815, -43.9430243"
59379,5611204.0,13-10-1976,SIM,"RUA FLORIDA, 15, SION, BELO HORIZONTE, MG, BRASIL",BAR DO ANTONIO LIMITADA,BAR DO ANTONIO,POINT (611548.14 7793865.29),0,"-19.9485952, -43.9338742"
59380,5611204.0,22-08-2006,NÃO,"RUA FLORIDA, 31, SION, BELO HORIZONTE, MG, BRASIL",BAR DO ANTONIO LIMITADA,ESTABELECIMENTO SEM NOME,POINT (611568.45 7793859.97),0,"-19.9489897, -43.9322579"
59381,5611205.0,17-10-2013,NÃO,"RUA GUAICUI, 615, LUXEMBURGO, BELO HORIZONTE, MG, BRASIL",BAR DO ANTONIO LIMITADA,ESTABELECIMENTO SEM NOME,POINT (609403.37 7793992.97),0,"-19.9473302, -43.9544083"
70403,5611204.0,01-10-2012,NÃO,"RUA TALES, 30, NAZARE, BELO HORIZONTE, MG, BRASIL",JOSE EDUARDO AVELINO DA CRUZ 22274685649,ESTABELECIMENTO SEM NOME,POINT (615330.76 7804855.97),0,"-19.8484659, -43.8976707"
71002,5611204.0,19-10-2012,NÃO,"RUA BOLIVAR, 263, UNIAO, BELO HORIZONTE, MG, BRASIL",ROSILENE JULIA PINTO 88275671604,ESTABELECIMENTO SEM NOME,POINT (612647.43 7801405.54),0,"-19.8795456, -43.9233861"
71012,5611204.0,20-10-2012,NÃO,"RUA DAS PERPETUAS, 135, LINDEIA, BELO HORIZONTE, MG, BRASIL",EDNEI GUERCY NESTOR 05773188619,ESTABELECIMENTO SEM NOME,POINT (599646.00 7791023.12),0,"-19.9786436, -44.0485452"
71019,5611201.0,21-10-2012,NÃO,"RUA JOSE AMERICO DE ALMEIDA, 411, CAMARGOS, BELO HORIZONTE, MG, BRASIL",CLODOALDO ANTONIO DE FARIA 48335711615,ESTABELECIMENTO SEM NOME,POINT (603182.50 7794699.82),0,"-19.9429787, -44.0140797"
71341,5611204.0,31-10-2012,NÃO,"RUA EDUARDO LEITE BACURI, 73, ALTA TENSAO I, BELO HORIZONTE, MG, BRASIL",WELLINGTON PEREIRA PORTO 07313165684,ESTABELECIMENTO SEM NOME,POINT (604890.23 7791358.12),0,
71353,5611204.0,01-11-2012,NÃO,"RUA CECILIA PINTO, 173, SAO BERNARDO, BELO HORIZONTE, MG, BRASIL",CARLINDO AUGUSTO FERREIRA 90138740615,ESTABELECIMENTO SEM NOME,POINT (610485.20 7805138.38),0,
70431,5611201.0,02-10-2012,NÃO,"AVENIDA PADRE JOSE MAURICIO, 723, VISTA ALEGRE, BELO HORIZONTE, MG, BRASIL",ADENICE APARECIDA DA SILVA 95701516687,ESTABELECIMENTO SEM NOME,POINT (605065.90 7793246.14),0,"-19.9520894, -43.9926409"
70439,5611201.0,02-10-2012,NÃO,"RUA CRACOVIA, 87, EUROPA, BELO HORIZONTE, MG, BRASIL",MARIA ALICE ALVES DE OLIVEIRA 27510034604,ESTABELECIMENTO SEM NOME,POINT (608145.66 7810443.50),0,"-19.8001781, -43.9630991"
71368,5611201.0,02-11-2012,NÃO,"RUA OITO, 63, VISTA DO SOL, BELO HORIZONTE, MG, BRASIL",NEUZA DOMINGOS DA CUNHA 85877735691,ESTABELECIMENTO SEM NOME,POINT (616200.58 7804916.36),0,"-19.8483678, -43.8902100"
15054,5611204.0,01-04-2003,NÃO,"RUA ASTOLFO DUTRA, 953, VERA CRUZ, BELO HORIZONTE, MG, BRASIL",MARIA JOSE DE SOUSA PEREIRA,ESTABELECIMENTO SEM NOME,POINT (615570.21 7798347.31),0,"-19.9080409, -43.8968606"
